work_type,t,shift,nurse_id,value
overtime,4,Morning,22,0
regular,4,Morning,22,0
overtime,4,Morning,23,0
regular,4,Morning,23,0
overtime,4,Morning,24,0
regular,4,Morning,24,0
overtime,4,Morning,25,1
regular,4,Morning,25,0
overtime,4,Morning,26,0
regular,4,Morning,26,0
overtime,4,Morning,27,0
regular,4,Morning,27,0
overtime,4,Morning,28,0
regular,4,Morning,28,1
overtime,4,Morning,29,0
regular,4,Morning,29,0
overtime,4,Evening,0,0
regular,4,Evening,0,0
overtime,4,Evening,1,0
regular,4,Evening,1,1
overtime,4,Evening,2,0
regular,4,Evening,2,0
overtime,4,Evening,3,0
regular,4,Evening,3,0
overtime,4,Evening,4,0
regular,4,Evening,4,0
overtime,4,Evening,5,1
regular,4,Evening,5,0
overtime,4,Evening,6,0
regular,4,Evening,6,0
overtime,4,Evening,7,0
regular,4,Evening,7,0
overtime,4,Evening,8,0
regular,4,Evening,8,0
overtime,4,Evening,9,0
regular,4,Evening,9,0
overtime,4,Evening,10,0
regular,4,Evening,10,0
overtime,4,Evening,11,0
regular,4,Evening,11,0
overtime,4,Evening,12,0
regular,4,Evening,12,1
overtime,4,Evening,13,0
regular,4,Evening,13,0
overtime,4,Evening,14,0
regular,4,Evening,14,0
overtime,4,Evening,15,0
regular,4,Evening,15,0
overtime,4,Evening,16,0
regular,4,Evening,16,0
overtime,4,Evening,17,0
regular,4,Evening,17,0
overtime,4,Evening,18,0
regular,4,Evening,18,0
overtime,4,Evening,19,0
regular,4,Evening,19,1
overtime,4,Evening,20,0
regular,4,Evening,20,0
overtime,4,Evening,21,0
regular,4,Evening,21,1
overtime,4,Evening,22,0
regular,4,Evening,22,1
overtime,4,Evening,23,0
regular,4,Evening,23,0
overtime,4,Evening,24,0
regular,4,Evening,24,0
overtime,4,Evening,25,0
regular,4,Evening,25,0
overtime,4,Evening,26,0
regular,4,Evening,26,1
overtime,4,Evening,27,0
regular,4,Evening,27,0
overtime,4,Evening,28,0
regular,4,Evening,28,0
overtime,4,Evening,29,0
regular,4,Evening,29,0
overtime,4,Night,0,0
regular,4,Night,0,0
overtime,4,Night,1,0
regular,4,Night,1,0
overtime,4,Night,2,0
regular,4,Night,2,0
overtime,4,Night,3,0
regular,4,Night,3,0
overtime,4,Night,4,0
regular,4,Night,4,0
overtime,4,Night,5,0
regular,4,Night,5,0
overtime,4,Night,6,0
regular,4,Night,6,0
overtime,4,Night,7,0
regular,4,Night,7,0
overtime,4,Night,8,0
regular,4,Night,8,1
overtime,4,Night,9,0
regular,4,Night,9,0
overtime,4,Night,10,0
regular,4,Night,10,0
overtime,4,Night,11,0
regular,4,Night,11,1
overtime,4,Night,12,0
regular,4,Night,12,0
overtime,4,Night,13,0
regular,4,Night,13,1
overtime,4,Night,14,0
regular,4,Night,14,0
overtime,4,Night,15,0
regular,4,Night,15,0
overtime,4,Night,16,0
regular,4,Night,16,0
overtime,4,Night,17,0
regular,4,Night,17,1
overtime,4,Night,18,0
regular,4,Night,18,1
overtime,4,Night,19,0
regular,4,Night,19,0
overtime,4,Night,20,0
regular,4,Night,20,0
overtime,4,Night,21,0
regular,4,Night,21,0
overtime,4,Night,22,0
regular,4,Night,22,0
overtime,4,Night,23,0
regular,4,Night,23,0
overtime,4,Night,24,0
regular,4,Night,24,1
overtime,4,Night,25,0
regular,4,Night,25,1
overtime,4,Night,26,0
